"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1988",7,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1987",6.1,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1986",6.4,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1985",6.7,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1984",5.7,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1983",4.4,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1982",3.6,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1981",5.1,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Albania","ADM-EOR - Registered Unemployment","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1980",5.6,,,"Unemployment definition: Registered unemployed","Data reference period: December"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2024",5.2,,,,"Age coverage - maximum age: 74 years old"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2023",5.264,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2022",4.992,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2021",6.459,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2020",5.201,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2019",4.56,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2018",4.933,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2017",5.561,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2016",6.064,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2015",5.802,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2014",5.674,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2013",5.367,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2012",4.909,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2011",4.637,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2010",4.883,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2009",5.371,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2008",4.198,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2007",4.909,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2006",5.32,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2005",5.682,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2004",5.969,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2003",4.779,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2002",4.852,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2001",4.007,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","2000",4.687,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1999",4.699,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1998",5.483,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1997",5.15,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1996",5.282,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1995",4.345,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1994",3.535,,,,"Repository: OECD"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1993",4.25,,,,"Data reference period: Incomplete year"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1992",3.6,,,,"Data reference period: Incomplete year"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1991",3.42,,,,"Data reference period: Incomplete year"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1990",3.25,,,,"Data reference period: Incomplete year"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1989",3.14,,,,"Data reference period: Incomplete year"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1988",3.55,,,,"Data reference period: Incomplete year"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1987",3.8,,,"Break in series: Other or unspecified type of break","Data reference period: Incomplete year"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1986",3.12,,,,"Data reference period: Incomplete year | Reference group coverage: Excluding first time job seekers"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1985",3.6,,,,"Data reference period: Incomplete year | Reference group coverage: Excluding first time job seekers"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1984",3.8,,,,"Data reference period: Incomplete year | Reference group coverage: Excluding first time job seekers"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1983",4.11,,,,"Data reference period: Incomplete year | Reference group coverage: Excluding first time job seekers"
"Austria","LFS - Labour Force Survey","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1982",3.35,,,,"Data reference period: Incomplete year | Reference group coverage: Excluding first time job seekers"
"Austria","ADM-EOR - Registered Unemployment Records","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1980",1.9,,,"Unemployment definition: Registered unemployed","Data reference period: August"
"Austria","ADM-EOR - Registered Unemployment Records","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1979",2,,,"Unemployment definition: Registered unemployed","Data reference period: August"
"Austria","ADM-EOR - Registered Unemployment Records","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1978",2.1,,,"Unemployment definition: Registered unemployed","Data reference period: August"
"Austria","ADM-EOR - Registered Unemployment Records","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1977",1.8,,,"Unemployment definition: Registered unemployed","Data reference period: August"
"Austria","ADM-EOR - Registered Unemployment Records","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1976",2,,,"Unemployment definition: Registered unemployed","Data reference period: August"
"Austria","ADM-EOR - Registered Unemployment Records","Unemployment rate by sex and age (%)","Total","Age (Aggregate bands): Total","1975",2,,,"Unemployment definition: Registered unemployed","Data reference period: August"
