Country;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Estonia;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;66,9;90,1;114,7;113,6;110,5;147,5;156,2;194,2;229,0;267,2;319,1;368,8;389,0;372,6;408,4;553,1;541,5;469,1;449,2;477,9;558,4;576,8;617,4;671,9;722,3;743,4;781,7;834,8;928,4;891,3;917,5;1235,9;1392,7
Hungary;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2838,6;2767,0;3034,3;3267,0;3066,1;3192,0;3616,3;3595,0;3587,2;3703,0;3659,9;3739,8;3545,6;5529,6;3586,3;3638,2;4205,8;3332,4;2883,2;2165,5;2092,0;1801,9;1784,2;1343,8;1263,8;1554,4;1388,9;1587,4;1751,8;1924,1;2101,2;2267,9;2099,9;2078,7;1862,7;1897,2;1763,2;1571,6;1409,9;1429,3;1360,6;1286,6;1267,3;1425,5;1628,4;2055,8;1861,2;2626,6;3403,6;2776,0;4020,7;4355,5;4718,4
Latvia;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;114,3;133,6;129,4;100,6;97,5;105,0;136,5;170,5;214,0;349,8;403,6;435,7;507,0;637,3;694,8;680,7;432,3;327,3;338,7;311,4;334,3;346,7;395,8;570,5;647,8;883,1;883,2;928,3;961,0;958,1;1253,8;1404,8
Lithuania;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;216,7;116,9;121,7;135,5;222,7;387,3;296,2;386,9;453,6;452,2;442,3;510,3;556,3;615,7;671,2;692,2;522,2;435,9;420,9;421,5;436,2;524,4;698,7;936,4;1137,2;1369,3;1460,6;1521,6;1559,3;1944,0;2162,9;2602,1
North Macedonia;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;181,8;143,1;147,1;130,5;149,5;475,4;206,4;188,3;200,9;187,1;178,1;206,0;189,0;184,4;156,9;146,3;138,3;138,1;136,0;131,4;136,8;129,5;143,7;183,8;187,8;232,3;247,4;266,6;341,8
Montenegro;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;94,1;92,9;84,0;95,7;87,9;89,7;87,3;77,4;70,1;73,6;73,1;79,7;81,7;86,8;89,5;98,8;102,2;109,6;114,3;143,9
Poland;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;5936,6;6336,9;6377,7;6795,5;6866,3;7314,1;7608,3;8094,4;7760,4;7796,6;7362,5;7442,5;8205,9;7299,4;8244,8;8888,6;9224,3;8965,6;9269,6;7531,6;7823,6;5508,8;5337,5;5849,5;5839,8;5876,3;6183,8;6776,4;7037,5;6928,9;6734,8;6945,5;7064,8;7351,1;7699,9;8224,8;8743,4;9876,8;8983,6;9475,8;9928,2;10067,0;10155,0;10072,7;11206,4;13336,3;12597,6;12882,2;14591,4;14837,1;16980,1;17836,4;18057,2;26342,8;34488,3
Romania;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;5030,6;5078,7;4574,4;4703,9;4796,4;10831,9;11491,5;9412,5;10254,7;10920,6;4809,9;4988,9;3902,6;2355,9;2809,4;2739,3;2662,1;2984,9;2711,0;2446,6;2328,8;2442,4;2429,2;2505,7;2694,5;2849,5;2937,5;2817,0;3104,6;2639,8;2431,3;2515,0;2446,6;2633,0;2877,3;3319,3;3502,1;4751,9;5285,0;5785,2;6188,2;6053,3;5871,9;5628,0;8065,8
Slovakia;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1258,6;1299,1;2300,7;2286,5;1839,3;1438,5;1256,8;1306,4;1471,5;1493,8;1584,4;1471,8;1595,0;1617,9;1636,5;1677,2;1602,7;1402,9;1203,9;1204,4;1090,6;1125,8;1335,3;1369,4;1393,4;1596,2;2279,8;2494,9;2351,3;2368,0;2441,6;2768,7
Slovenia;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;555,4;476,5;462,9;527,9;541,1;519,2;518,4;487,7;443,8;545,0;604,4;629,5;667,7;680,6;779,7;784,4;830,6;836,6;833,1;672,2;578,8;513,1;491,7;487,5;548,2;561,9;586,7;658,5;641,2;814,9;855,5;912,9;931,9
Ukraine;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;396,9;1746,8;1877,0;1809,1;2242,2;1812,3;1669,5;2070,2;1748,6;1859,5;2148,5;2319,1;2808,5;3150,7;3829,6;3746,5;3431,9;3452,3;3172,2;3551,8;3776,0;4525,2;4944,9;4964,7;4793,5;5782,8;6700,6;7436,0;6882,8;41205,2;64908,0;66784,4
Austria;...;...;...;...;...;...;...;...;1432,2;1629,9;1612,6;1511,9;1451,7;1528,2;1873,7;2357,2;1950,3;2240,3;2270,3;2275,1;2341,9;2317,5;2231,0;2312,8;2402,6;2690,5;2991,0;3052,9;3150,3;3413,7;3625,9;3624,1;3512,1;3663,4;3720,4;3754,8;4107,7;4241,1;4077,8;3855,1;3815,0;3857,7;3875,3;3762,6;3798,8;3815,5;3782,0;3746,5;3755,0;3765,2;3842,2;3934,9;3666,4;3602,0;3751,2;3757,8;3677,1;3531,9;4200,2;4070,4;3800,9;3779,0;3693,1;3644,4;3502,9;3531,5;3376,8;3634,1;3815,8;3839,0;3925,8;4377,3;4486,6;4001,0;4452,2;5096,6
Belgium;2354,7;2375,3;3515,2;5194,8;5171,7;5335,2;4418,9;4296,6;4480,1;4412,6;4448,2;4547,2;4597,0;4892,5;5043,2;5412,3;5239,5;5658,9;5933,4;6142,8;6183,9;6591,6;6869,4;7240,4;7571,0;7677,1;8359,4;8797,0;9023,8;9626,3;9838,1;10028,7;10117,6;9782,2;9394,6;8995,3;8890,4;9257,3;9316,0;8926,0;8787,7;8621,5;8499,6;6979,1;6627,4;6591,1;6456,5;6333,7;6254,1;6252,3;6333,8;6333,4;6054,9;5871,2;5935,0;5811,3;5599,7;5556,2;5995,4;6536,2;6156,3;5896,3;5689,4;5626,0;5482,5;5393,6;5193,5;5172,3;5175,6;5288,6;5407,0;5887,6;6500,1;7364,1;7629,4;8196,9
